,company,rating_overall,job title,job location,salary,company size,headquarters,company revenue,industry,sector,Comp & Benefits,Culture & Values,Career Opportunities,Work/Life Balance,Senior Management
0,Saama Technologies Inc,3.6,Data Scientist,"Campbell, CA",$91K-$145K (Glassdoor est.),501 to 1000 employees,"Campbell, CA",Unknown / Non-Applicable,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,3.7,3.7,3.5,3.6,3.2
1,Walmart eCommerce,3.1,DATA SCIENTIST,"Sunnyvale, CA",$121K-$192K (Glassdoor est.),1001 to 5000 employees,"San Bruno, CA",$10+ billion (USD),Internet,Information Technology,3.5,2.8,3.1,3.3,2.5
2,Presbyterian Healthcare Services,3.2,DATA SCIENTIST - EVIDENCE BASED CARE DESIGN,"Albuquerque, NM",$66K-$111K (Glassdoor est.),10000+ employees,"Albuquerque, NM",$2 to $5 billion (USD),Health Care Services & Hospitals,Health Care,3.3,3.5,3.4,3.2,3.0
3,Walmart eCommerce,3.1,Staff Data Scientist,"San Bruno, CA",$155K-$246K (Glassdoor est.),1001 to 5000 employees,"San Bruno, CA",$10+ billion (USD),Internet,Information Technology,3.5,2.8,3.1,3.3,2.5
4,Walmart eCommerce,3.1,Machine Learning Scientist,"San Bruno, CA",$121K-$191K (Glassdoor est.),1001 to 5000 employees,"San Bruno, CA",$10+ billion (USD),Internet,Information Technology,3.5,2.8,3.1,3.3,2.5
